所属组织,人物,上级或关联对象,关系类型,备注
组织,沐天邈,,创始人/上级,组织创始人及冥主
组织,左殇,沐天邈,下属/冥使,紫冥
组织,魂,沐天邈,下属/冥使,核心人物
组织,暗禅,沐天邈,下属/冥使,
组织,虚空,沐天邈,下属/冥使,
组织,小斯,沐天邈,下属/冥使,
组织,第七人,沐天邈,下属/冥使,
组织,全忠,沐天邈,下属/大管家,
组织,沐小葵,沐天邈,女儿/组织成员,
组织,玉妖,沐小葵,主仆关系,
组织,铁鬼,沐小葵,主仆关系,
组织,万巧茹,沐天邈,人使,
组织,玄鱼,沐天邈,人使,
组织,剑玄,沐天邈,人使,
组织,海市,沐天邈,人使,
组织,炉鬼,沐天邈,人使,
组织,勾姐,沐天邈,人使,
组织,飞云,沐天邈,人使,
组织,云机,沐天邈,人使,
组织,侍者,沐天邈,人使,
组织,宿莫,沐天邈,人使,
组织,松音,沐天邈,人使,
组织,秀才,沐天邈,人使,
组织,赤月,沐天邈,人使,
组织,隐狗,沐天邈,人使,
组织,魔桥,沐天邈,人使,
组织,赖小生,沐天邈,人使/卧底,魔堡天蝎坛坛主
组织,长鸿,沐天邈,人使,
组织,老桂,沐天邈,人使,
组织,雷当,沐天邈,人使,
组织,水冰淼,沐天邈,人使,
组织,无明,沐天邈,人使,
组织,苦海,沐天邈,人使,
组织,木沉,沐天邈,人使,
组织,木妖,沐天邈,人使,
组织,傀笙,沐天邈,人使,
组织,醉者,沐天邈,人使,
组织,冷蒹,沐天邈,人使,
组织,瞳媚,沐天邈,人使,
组织,玉珠,沐天邈,人使,
组织,狱,沐天邈,鬼差首领/上级,
组织,爆魔,沐天邈,鬼差下属,
组织,刃鬼,沐天邈,鬼差下属,
组织,铰者,沐天邈,鬼差下属,
组织,玄者,沐天邈,鬼差下属,
组织,铸者,沐天邈,鬼差下属,
组织,力者,沐天邈,鬼差下属,
组织,刀者,沐天邈,鬼差下属,
组织,锤者,沐天邈,鬼差下属,
组织,钩者,沐天邈,鬼差下属,
组织,顽者,沐天邈,鬼差下属,
十一人阁,黄金剑客,,创始人/首领,
十一人阁,玄玉,黄金剑客,下属/成员,
十一人阁,半月花,黄金剑客,下属/成员,
十一人阁,飞云索,黄金剑客,下属/成员,
十一人阁,上官斩,黄金剑客,下属/成员,
十一人阁,血屠,黄金剑客,下属/成员,
十一人阁,堕,黄金剑客,下属/成员,
十一人阁,梦华,黄金剑客,下属/成员,
十一人阁,醉苍穹,黄金剑客,下属/成员,
十一人阁,苦海,黄金剑客,下属/成员,
十一人阁,赢老太君,黄金剑客,下属/成员,
十一人阁,蜃楼之主,黄金剑客,傀儡/台前首领,
十一人阁,木老师,十一人阁,成员/关联,
十一人阁,老乌龟,上官斩,下属/关联,
十一人阁,蝶,十一人阁,关联,
十一人阁,之云,半月花,下属/关联,
十一人阁,剑玄,十一人阁,敌对/关联,
十一人阁,弄蛇,十一人阁,成员/关联,
十一人阁,夜锋,蜃楼,成员/关联,
十一人阁,铁诞,十一人阁,成员/关联,
龙氏家族,龙泰然,,家族创始人/上级,
龙氏家族,龙一,龙泰然,儿子,
龙氏家族,龙二：龙亦绝,龙泰然,儿子,
龙氏家族,龙三,龙泰然,儿子,
龙氏家族,龙四：龙烈,龙泰然,儿子,
龙氏家族,龙五,龙泰然,儿子,
龙氏家族,龙六,龙泰然,儿子,
龙氏家族,龙七,龙泰然,儿子,
龙氏家族,龙八,龙泰然,儿子,
龙氏家族,龙九：龙星,龙泰然,儿子,
龙氏家族,龙鸣玉,龙氏家族,旁系/家族高手,
龙氏家族,龙复园,龙五,失踪之子/后辈,图中以龙氏家族遗孤身份关联
龙氏家族,公孙晓风,龙氏家族,关联,
龙氏家族,莫招云,龙氏家族,关联,
龙氏家族,越霜客,龙氏家族,关联,
影,邪无天,,创始人/首领,
影,葬无底,邪无天,下属,
影,腰无骨,邪无天,下属,
影,冷荼,邪无天,下属,
影,剑无影,邪无天,下属,
影,影魅,邪无天,下属,
影,狂影,邪无天,下属,
暗魔天堡,魔少城,,堡主/上级,
暗魔天堡,魂,魔天,父子/后人,
暗魔天堡,魔天,魔少城,儿子/堡主,
暗魔天堡,魔海,魔少城,家族成员,
暗魔天堡,魔川,魔少城,家族成员,
暗魔天堡,魔野,魔少城,家族成员,
玄家,玄墨,,祖先,
玄家,玄礼,玄墨,初代,
玄家,玄机,玄礼,后辈,
玄家,玄玉,玄机,后辈,
玄家,玄鱼,玄机,后辈,
赢氏家族,赢老太君,,家族核心,
赢氏家族,赢妙,赢老太君,后辈/家族成员,
赢氏家族,澄儿,赢妙,后辈/家族成员,
中立门派,妙手老张,武林各派,中立人物,
中立门派,灰寡妇,武林各派,中立人物,
中立门派,白头客,武林各派,中立人物,
中立门派,聚宝财枭,武林各派,中立人物,
中立门派,红白娘子,武林各派,中立人物,
中立门派,昆仑三杰,武林各派,门派成员,
中立门派,南宫鸣,武林各派,中立人物,
中立门派,正帮,武林各派,组织,
中立门派,黑镖门,武林各派,组织,
中立门派,金钱赌坊,武林各派,组织,
中立门派,全玉阁,武林各派,组织,
中立门派,械城,武林各派,组织,
中立门派,大荒天堡,武林各派,组织,
中立门派,天下钱庄,武林各派,组织,
中立门派,青堡书院,武林各派,组织,
中立门派,学士阁,武林各派,组织,
中立门派,守正司,武林各派,组织,
中立门派,铁鹰卫队,武林各派,组织,
中立门派,沉海舰队,武林各派,组织,
关系,魂,魔天,父子,
关系,魂,魔剑,兄弟,
关系,魂,沐天邈,义父子/上下级,
关系,左殇,龙五,父子,
关系,左殇,玄鱼,情侣,
关系,沐天邈,沐小葵,父女,
关系,魂,邪无天,敌对/战斗,
关系,左殇,邪无天,敌对/战斗,
关系,黄金剑客,玄玉,收养/上下级,
关系,黄金剑客,玄机,敌对/杀害,
关系,沐天邈,铁君子,决斗/杀害,
关系,魂,蜃楼之主,敌对/战斗,
关系,左殇,蜃楼之主,敌对/战斗,
关系,魂,冷荼,敌对/杀害,
关系,魂,剑玄,同组织/行动,
关系,玄玉,玄鱼,兄妹,
关系,龙鸣玉,魔天,敌对/战斗,
关系,龙鸣玉,龙五,家族关系,
关系,赢老太君,蜃楼之主,十一人阁/关联,
关系,邪无天,腰无骨,合谋/被杀害,
关系,组织,十一人阁,冲突/对抗,
关系,组织,暗魔天堡,进攻/覆灭,
关系,组织,龙氏家族,离间/冲突,
